angry AJ0-347 
position NN1-1835 
appointment NN1-354 
other AJ0-11807 
leading AJ0-1007 
announced VVD-656 
over PRP-8376 
few DT0-4588 
weeks NN2-1484 
nuns NN2-135 
thin AJ0-430 
black AJ0-2260 
line NN1-2186 
repels VVZ-2 
chicken-killers NN2-1 
liz NP0-67 
hunt NP0-131 
shortly AV0-353 
after PRP-10349 
8am AV0-13 
yesterday AV0-4388 
six CRD-2261 
elderly AJ0-375 
slipped VVD-193 
their DPS-27484 
living VVG-1071 
quarters NN2-131 
our DPS-8769 
lady NN1-512 
passion NN1-333 
monastery NN1-64 
near PRP-1269 
daventry NP0-18 
northants NP0-24 
made VVN-5566 
hen-house NN1-12 
you PNP-31010 
've VHB-2827 
heard VVN-843 
red AJ0-1353 
we PNP-25231 
before PRP-4613 
disappearing VVG-58 
inside PRP-603 
prepared AJ0-644 
unyielding AJ0-10 
defence NN1-1567 
flocks NN2-60 
10,000 CRD-156 
battery NN1-85 
hens NN2-92 
against PRP-6302 
ministry NN1-632 
agriculture NN1-435 
10 CRD-2028 
burly AJ0-13 
ex-miners NN2-1 
form NN1-2214 
chicken-killing AJ0-1 
squad NN1-341 
ever-ready AJ0-3 
wring VVI-8 
feathered AJ0-10 
neck NN1-400 
little AJ0-2428 
8.30am AV0-10 
chris NP0-461 
williamson NP0-35 
veterinary AJ0-51 
officer NN1-854 
arrived VVD-667 
come VVI-2311 
supervise VVI-31 
slaughter NN1-75 
infected VVN-66 
salmonella NN1-64 
typhimurium NN1-12 
door NN1-1853 
remained VVD-721 
firmly AV0-372 
shut VVN-148 
reduced VVN-546 
fruitless AJ0-30 
trips NN2-176 
between PRP-8139 
car NN1-2647 
telephone NN1-632 
mobile AJ0-167 
unit NN1-855 
came VVD-4475 
saw VVD-2180 
repulsed VVN-10 
miriam NP0-7 
warburton NP0-5 
divisional AJ0-66 
turn NN1-828 
entry NN1-407 
claim NN1-592 
exploiting VVG-56 
loophole NN1-14 
zoonoses NP0-4 
order NN1-2458 
1989 CRD-1216 
allows VVZ-348 
permit VVI-82 
officials NN2-765 
mother NN1-1907 
catherine NP0-191 
superior AJ0-190 
spritely AV0-3 
85-year-old AJ0-5 
american AJ0-2882 
there EX0-20886 
case NN1-3086 
food NN1-2156 
poisoning NN1-67 
associated VVN-482 
eggs NN2-379 
kept VVD-776 
20 CRD-1417 
years NN2-9729 
eat VVI-498 
time NN1-13663 
'd VM0-1777 
affected VVN-425 
she PNP-23885 
no AT0-13615 
direct AJ0-833 
evidence NN1-1608 
linking VVG-119 
isolated AJ0-164 
occurred VVD-254 
nearby AJ0-240 
bedworth NP0-10 
june NP0-1109 
due AJ0-1195 
enteriditis NN1-7 
vague AJ0-155 
information NN1-1984 
person NN1-1916 
concerned AJ0-1082 
eaten VVN-180 
egg NN1-283 
may VM0-8291 
thought VVD-2637 
moment NN1-1620 
health NN1-2308 
public AJ0-3245 
risk NN1-863 
stop VVI-823 
selling VVG-581 
official AJ0-915 
delivered VVN-201 
notice NN1-409 
stating VVG-71 
officers NN2-819 
intended VVN-398 
return NN1-1132 
morning NN1-1636 
carry VVI-551 
birds NN2-448 
action NN1-1946 
highlighted VVN-57 
plight NN1-77 
producers NN2-367 
wake NN1-168 
controversy NN1-200 
gorbachev NP0-452 
berlin NP0-676 
tightrope NN1-17 
encouragement NN1-139 
reform NN1-712 
east NN1-1542 
coupled VVN-128 
warning NN1-436 
west NP0-1756 
respect NN1-578 
post-war AJ0-271 
borders NN2-172 
steve NP0-487 
crawshaw NP0-11 
most AV0-6622 
difficult AJ0-2001 
balancing VVG-39 
acts NN2-375 
date NN1-760 
mikhail NP0-92 
urged VVD-190 
hard-line AJ0-19 
german AJ0-2050 
leadership NN1-819 
discuss VVI-323 
groups NN2-1581 
society NN1-2286 
while CJS-5037 
germany NP0-2163 
attempt NN1-1074 
realign VVI-5 
europe NP0-2728 
speech NN1-841 
marking VVG-76 
country NN1-4001 
fortieth ORD-14 
like PRP-10052 
countries NN2-1940 
problems NN2-2340 
stemming VVG-23 
movement NN1-1237 
elsewhere AV0-582 
bloc NN1-56 
these DT0-9716 
difficulties NN2-542 
required VVN-941 
seems VVZ-2183 
unlikely AJ0-637 
feel VVB-1133 
threatened VVN-303 
tone NN1-367 
anything PNI-2165 
relieved AJ0-123 
got VVN-2251 
off AVP-5522 
lightly AV0-195 
given VVN-3345 
aversion NN1-21 
local AJ0-3908 
brand NN1-188 
perestroika NN1-47 
glasnost NN1-44 
long AJ0-3965 
clear AJ0-2278 
do VDB-10417 
doubt NN1-1030 
communist AJ0-664 
able AJ0-2486 
co-operation NN1-330 
forces NN2-1186 
find VVI-2623 
answers NN2-195 
those DT0-7785 
questions NN2-960 
arise VVI-90 
development NN1-2087 
republic NN1-506 
citizens NN2-369 
told VVD-2296 
huge AJ0-1077 
audience NN1-800 
gathered VVN-182 
palace NN1-408 
then AV0-10555 
voices NN2-255 
being VBG-8101 
raised VVN-587 
demanding VVG-217 
re-establishment NN1-6 
under PRP-4927 
1937 CRD-118 
idealise VVB-1 
european AJ0-3126 
until CJS-2480 
precisely AV0-313 
recognition NN1-367 
realities NN2-91 
ensures VVZ-72 
peace NN1-935 
repeatedly AV0-144 
asked VVD-1853 
take VVI-4475 
steps NN2-621 
eliminate VVI-81 
division NN1-1078 
such DT0-9879 
breaking VVG-346 
down AVP-7399 
wall NN1-1162 
arriving VVG-173 
height NN1-388 
serious AJ0-1361 
crisis NN1-731 
more AV0-15104 
three CRD-6529 
decades NN2-303 
earlier AV0-936 
brief AJ0-441 
encounter NN1-158 
enthusiastic AJ0-179 
berliners NN2-28 
spoken VVN-210 
need VVB-1661 
panic NN1-160 
important AJ0-2953 
thing NN1-2427 
're VBB-2810 
staying VVG-219 
shouted VVD-289 
man NN1-5556 
crowd NN1-505 
greeted VVN-97 
soviet AJ0-1616 
leader NN1-1447 
laid VVN-409 
wreath NN1-20 
eternal AJ0-125 
flame NN1-81 
scattered VVN-109 
cries NN2-77 
gorby NP0-18 
louder AJC-51 
prolonged AJ0-107 
emerged VVD-348 
war NN1-3566 
memorial NN1-207 
several DT0-2349 
thousand CRD-385 
including PRP-2226 
many DT0-9275 
wearing VVG-528 
blue AJ0-933 
shirts NN2-96 
free AJ0-2400 
youth NN1-533 
waiting VVG-748 
see VVI-4655 
meet-the-people AJ0-2 
detour NN1-19 
impromptu AJ0-23 
press NN1-1411 
outside PRP-1074 
states NP0-910 
react VVI-90 
impulses NN2-24 
times NN2-2843 
danger NN1-605 
heavy AJ0-937 
hint NN1-166 
know VVI-2680 
germans NN2-677 
known VVN-2270 
them PNP-14453 
look VVI-1766 
change NN1-1908 
truth NN1-787 
far AV0-3495 
shown VVN-1035 
too AV0-7122 
signs NN2-489 
wanting VVG-253 
erich NP0-54 
honecker NP0-93 
77-year-old AJ0-4 
continued VVD-877 
talk VVI-689 
socialism NN1-265 
solve VVI-174 
ourselves PNX-416 
socialist AJ0-427 
means VVZ-1150 
proposals NN2-626 
weaken VVI-38 
blossom NN1-42 
here AV0-4772 
optimistic AJ0-171 
platitudes NN2-15 
sounding VVG-74 
hollow AJ0-114 
just AV0-9195 
matter NN1-1381 
tens CRD-104 
thousands CRD-658 
streamed VVD-12 
recent AJ0-1655 
via PRP-378 
budapest NP0-111 
prague NP0-166 
warsaw NP0-177 
opposition NN1-1052 
home NN1-3334 
growing AJ0-863 
stronger AJC-284 
every AT0-3786 
gethsemane AJ0-7 
church NN1-2235 
packed VVN-169 
mostly AV0-495 
young AJ0-3251 
light NN1-1700 
candles NN2-56 
protest NN1-336 
regime NN1-512 
refusal NN1-179 
accept VVI-725 
signed VVN-281 
petition NN1-60 
another DT0-5906 
saviour NN1-42 
workshop NN1-134 
entitled VVN-194 
future NN1-1794 
theme NN1-478 
leaflets NN2-97 
plastered VVD-16 
walls NN2-573 
police NN2-2632 
state NN1-3196 
methods NN2-580 
must VM0-5780 
authorities NN2-1094 
seem VVI-836 
agree VVI-351 
members NN2-2600 
stati NP0-1 
secret AJ0-536 
meetings NN2-442 
ominously AV0-26 
reader NN1-297 
letter NN1-1389 
leipzig NP0-59 
spoke VVD-533 
counter-revolutionary AJ0-14 
actions NN2-363 
leipziger NP0-2 
volkszeitung NP0-1 
called VVN-2472 
weapons NN2-475 
really AV0-3034 
thinking VVG-771 
readers NN2-603 
letters NN2-801 
notoriously AV0-80 
courting VVG-20 
unprecedented AJ0-130 
disaster NN1-379 
talking VVG-833 
discussed VVN-340 
china NP0-687 
solution NN1-481 
woman NN1-2131 
widely-held AJ0-3 
view NN1-2195 
declared VVD-339 
things NN2-3754 
speak VVI-543 
says VVZ-3846 
hughes NP0-236 
correspondent NN1-866 
himself PNX-3355 
fit AJ0-359 
prime AJ0-1728 
minister NN1-2641 
claiming VVG-221 
end-of-conference AJ0-1 
message NN1-615 
speaks VVZ-197 
british AJ0-6121 
itn NP0-39 
interviewer NN1-35 
felt VVD-1982 
govern VVI-55 
partly AV0-608 
added VVD-1055 
enough AV0-2387 
itself PNX-2439 
'm VBB-2838 
truly AV0-351 
represent VVI-210 
hopes NN2-408 
success NN1-1480 
social AJ0-3381 
justice NN1-521 
aspirations NN2-119 
detached AJ0-74 
remote AJ0-297 
certainly AV0-1556 
become VVI-1595 
went VVD-3855 
tough AJ0-454 
can VM0-18161 
objectives NN2-278 
drive NN1-488 
think VVB-2465 
kind NN1-1986 
tenacity NN1-23 
kenneth NP0-260 
baker NP0-299 
chairman NN1-1627 
intends VVZ-124 
mounting VVG-95 
attack NN1-807 
personal AJ0-1533 
qualities NN2-314 
dismissed VVN-189 
tactic NN1-48 
pathetic AJ0-54 
predicted VVN-121 
marionettes NN2-3 
say VVI-2811 
themselves PNX-2453 
well AV0-7304 
majority NN1-1182 
100 CRD-734 
office NN1-2231 
opportunities NN2-485 
end NN1-4423 
make VVI-5393 
individual AJ0-1191 
confidence NN1-794 
bolstered VVN-14 
nop NP0-12 
survey NN1-637 
london NP0-4632 
evening NN1-1322 
standard NN1-775 
gave VVD-2120 
9-point AJ0-1 
46 CRD-99 
37 CRD-177 
poll NN1-560 
satisfaction NN1-244 
rating NN1-117 
voters NN2-607 
runs VVZ-525 
48 CRD-149 
compared VVN-792 
39 CRD-174 
margaret NP0-414 
thatcher NP0-1431 
landmark NN1-41 
getting VVG-1593 
reviews NN2-92 
endorsed VVN-72 
conducting VVG-110 
attract VVI-242 
done VDN-2538 
wanted VVD-1841 
imposed VVN-281 
upon PRP-2024 
enter VVI-310 
phase NN1-294 
popularise VVI-6 
reviewed VVN-78 
policies NN2-969 
refining VVG-22 
details NN2-1011 
areas NN2-1982 
delivery NN1-220 
review NN1-708 
capped VVN-30 
agreed VVN-742 
major AJ0-2080 
diminution NN1-14 
overwhelming AJ0-166 
dominance NN1-93 
union NN1-2601 
block NN1-326 
vote NN1-728 
keen AJ0-426 
modernising VVG-19 
policy-making NN1-28 
machinery NN1-227 
process NN1-1567 
took VVD-3761 
jump NN1-107 
forward AV0-1062 
delegates NN2-204 
approved VVN-180 
consultation NN1-156 
completed VVN-335 
february NP0-745 
changes NN2-1365 
voted VVN-173 
though CJS-4035 
extensive AJ0-341 
likely AJ0-2348 
1991 CRD-799 
move NN1-845 
towards PRP-2573 
greater AJC-1280 
equality NN1-134 
unions NN2-702 
evolve VVI-35 
according VVG-1696 
indication NN1-169 
prefer VVB-216 
shrink VVI-41 
gradually AV0-368 
membership NN1-542 
rises NN2-193 
faster AV0-189 
indicating VVG-77 
preferred VVD-158 
options NN2-307 
increasing AJ0-562 
size NN1-1045 
national AJ0-4158 
representative NN1-262 
left VVN-2163 
brighton NP0-210 
self-proclaimed AJ0-9 
unity NN1-426 
amity NN1-4 
reflected VVN-223 
electorally AV0-18 
effective AJ0-805 
early AJ0-3149 
1960s CRD-325 
mrs NP0-3275 
elected VVN-343 
1979 CRD-606 
ended VVD-530 
defensive AJ0-140 
doubled VVN-142 
6 CRD-930 
past AJ0-1322 
month NN1-1821 
polls NN2-383 
conducted VVN-203 
programme NN1-1607 
newsnight NP0-17 
rebels NN2-213 
shot NN1-371 
dead AJ0-1255 
panama NP0-276 
coup NN1-226 
mcgreal NP0-5 
city NN1-3269 
rebel NN1-141 
led VVD-1014 
abortive AJ0-22 
rebellion NN1-112 
failed VVN-750 
killed VVN-656 
fighting VVG-465 
military AJ0-1355 
contends VVZ-21 
senior AJ0-930 
source NN1-770 
permitted VVN-120 
bodies NN2-619 
14 CRD-722 
claimed VVD-551 
witness NN1-121 
reported VVN-484 
seeing VVG-560 
four CRD-3644 
hooded AJ0-16 
shackled VVN-5 
men NN2-3671 
arrest NN1-121 
section NN1-1026 
airport NN1-370 
identifying VVG-94 
families NN2-828 
victims NN2-360 
allowed VVN-993 
or CJC-30456 
bury VVI-50 
appeared VVD-1018 
suffered VVD-334 
shots NN2-189 
head NN1-2901 
rest NN1-1415 
body NN1-2319 
expected VVN-1396 
gun NN1-344 
battle NN1-822 
killings NN2-98 
shaken VVN-76 
aftermath NN1-74 
uprising NN1-78 
suspicion NN1-196 
complicity NN1-16 
ran VVD-860 
wide AJ0-892 
plead VVI-24 
lives NN2-861 
plotters NN2-7 
general AJ0-2904 
manuel NP0-46 
noriega NP0-253 
overthrow VVI-35 
wrath NN1-47 
civilian AJ0-141 
opponents NN2-258 
saying VVG-1370 
present AJ0-1365 
emergency NN1-444 
legislation NN1-564 
purge NN1-22 
bureaucracy NN1-126 
treasonous AJ0-1 
employees NN2-430 
tacitly AV0-14 
backed VVN-221 
civil AJ0-1085 
servants NN2-287 
loyal AJ0-170 
him PNP-13995 
denounce VVI-27 
subversive AJ0-51 
colleagues NN2-540 
traitors NN2-13 
replaced VVN-422 
supporters NN2-604 
closely AV0-499 
scrutinising VVG-8 
list NN1-889 
calls NN2-452 
support NN1-2251 
received VVN-692 
whether CJS-2856 
julie NP0-70 
ward NP0-170 
inquest NN1-66 
murder NN1-517 
roberta NP0-3 
mullineaux NP0-1 
nairobi NP0-40 
counsel NN1-70 
kenyan AJ0-20 
still AV0-7098 
maintaining VVG-196 
committed VVN-441 
suicide NN1-216 
animals NN2-931 
alex NP0-145 
etyang NP0-4 
concluded VVD-185 
joseph NP0-475 
mango NP0-5 
chief AJ0-967 
magistrate NN1-62 
38 CRD-152 
witnesses NN2-124 
hearing NN1-289 
began VVD-2232 
august NP0-829 
reserved VVN-93 
verdict NN1-141 
27 CRD-378 
october NP0-1110 
byron NP0-57 
georgiadis NP0-9 
father NN1-1850 
insisted VVD-301 
murdered VVN-95 
charred AJ0-20 
severed VVN-27 
remains VVZ-943 
miss NP0-660 
ago AV0-2301 
masai NP0-5 
mara NP0-3 
game NN1-1779 
reserve NN1-234 
kenya NP0-150 
out-of-the-way AJ0-7 
spot NN1-365 
miles NN2-1068 
her DPS-15784 
abandoned VVN-245 
vehicle NN1-357 
death NN1-2180 
misadventure NN1-7 
questioned VVN-112 
professor NP0-294 
austin NP0-51 
gresham NP0-7 
pathologist NN1-15 
morbid AJ0-21 
anatomy NN1-40 
cambridge NP0-692 
university NN1-1419 
second ORD-3759 
post-mortem NN1-18 
examination NN1-311 
flown VVN-76 
eminent AJ0-49 
uk NP0-1490 
human AJ0-1655 
mistake NN1-353 
medicine NN1-222 
does VDZ-4872 
findings NN2-205 
unquestionable AJ0-7 
admitted VVD-375 
experience NN1-1661 
animal NN1-631 
bites NN2-35 
hyena NN1-1 
dogs NN2-805 
foxes NN2-81 
studied VVN-194 
wild AJ0-554 
injuries NN2-182 
books NN2-1161 
opinion NN1-886 
cut VVN-620 
single AJ0-1681 
sharp AJ0-502 
warden NN1-55 
simon NP0-673 
makallah NP0-5 
speculation NN1-240 
suggested VVD-502 
instead AV0-1509 
perhaps AV0-2905 
white AJ0-2084 
alive AJ0-389 
something PNI-3804 
neither AV0-597 
attend VVI-218 
court NN1-1976 
detective NN1-94 
charge NN1-923 
investigation NN1-346 
superintendent NN1-32 
muchuri NP0-1 
wanjau NP0-1 
cleared VVN-153 
blame VVI-179 
stephen NP0-319 
watson NP0-131 
english AJ0-1874 
safari NN1-22 
australian AJ0-431 
marine AJ0-254 
biologist NN1-25 
glen NP0-56 
burns NP0-43 
courtroom NN1-31 
considerable AJ0-795 
qualms NN2-26 
kenyans NN2-4 
gone VVN-1665 
enormous AJ0-489 
trouble NN1-844 
irish AJ0-740 
poet NN1-327 
going VVG-4324 
gentle AJ0-280 
good AJ0-6980 
peter NP0-1654 
dunn NP0-60 
tells VVZ-384 
bizarre AJ0-142 
tale NN1-238 
how AVQ-7682 
family NN1-3396 
feuding VVG-5 
jealousy NN1-58 
assorted AJ0-34 
shenanigans NN2-13 
patrick NP0-325 
kavanagh NP0-38 
graves NN2-107 
broken VVN-427 
among PRP-2752 
poets NN2-161 
ireland NP0-1170 
bohemian AJ0-17 
rural AJ0-771 
bard NN1-12 
inniskeen NP0-7 
county NN1-826 
monaghan NP0-36 
village NN1-1124 
born VVN-771 
mcguinness NP0-7 
parish NN1-239 
priest NN1-205 
understatement NN1-30 
confusing AJ0-81 
tourists NN2-201 
want VVB-2228 
pay VVI-1275 
homage NN1-58 
famous AJ0-873 
son NN1-1221 
conflict NN1-528 
burying VVG-25 
each DT0-4825 
eloquent AJ0-57 
abuse NN1-322 
possession NN1-266 
soul NN1-485 
legacy NN1-152 
poems NN2-257 
ownership NN1-406 
copyright NN1-72 
work NN1-5407 
virulent AJ0-18 
side-issue NN1-1 
resolved VVN-139 
high AJ0-3972 
autumn NN1-547 
emotional AJ0-435 
dust NN1-247 
admit VVI-257 
longer AV0-1381 
settle VVI-198 
neat AJ0-181 
cemetery NN1-67 
fields NN2-511 
run VVI-794 
distant AJ0-305 
hedgerow NN1-31 
sign NN1-631 
gate NN1-400 
fast AJ0-640 
service NN1-2979 
buried VVN-207 
plot NN1-262 
1967 CRD-150 
along AVP-1680 
twisting VVG-49 
path NN1-563 
site NN1-684 
apart AV0-1004 
pile NN1-151 
fading VVG-53 
wreaths NN2-13 
digging VVG-85 
grave NN1-198 
revered VVN-18 
bated AJ0-3 
breath NN1-332 
w. NP0-138 
b. NP0-125 
yeats NP0-104 
unmarked AJ0-24 
behind PRP-1898 
roadside NN1-25 
fence NN1-275 
garden NN1-1537 
pebble-dashed AJ0-1 
birth-place NN1-2 
mucker NP0-2 
mile NN1-351 
away AV0-4425 
wooden AJ0-334 
cross NN1-605 
deck NN1-86 
old AJ0-5346 
stepping VVG-67 
stones NN2-277 
identified VVN-339 
final AJ0-1691 
berth NN1-12 
spelling NN1-43 
primly AV0-11 
corrected VVN-39 
hangs VVZ-73 
arrangement NN1-290 
19th ORD-147 
forcibly AV0-40 
opened VVD-757 
flag-stones NN2-1 
memorabilia NN2-15 
salvaged VVN-19 
detritus NN1-15 
preserved VVN-250 
shrine NN1-67 
indignant AJ0-32 
younger AJC-502 
brother NN1-650 
dr NP0-1392 
73 CRD-81 
one-time AJ0-26 
poetry NN1-483 
wisconsin NP0-15 
spent VVN-751 
25 CRD-710 
york NP0-1179 
promoting VVG-149 
monumental AJ0-38 
landscaping NN1-22 
visible AJ0-312 
tumultuous AJ0-9 
row NN1-511 
place NN1-4271 
around PRP-2464 
dublin NP0-293 
set VVN-1506 
turned VVD-1513 
widow NN1-125 
katherine NP0-40 
funeral NN1-206 
delayed VVN-138 
hours NN2-1915 
complained VVD-210 
wrong AJ0-1347 
ceremony NN1-150 
niece NN1-46 
patriot NN1-37 
kevin NP0-229 
barry NP0-182 
1916 CRD-60 
married AJ0-469 
months NN2-2578 
lung NN1-44 
cancer NN1-250 
lived VVD-610 
together AV0-2668 
book-keeper NN1-2 
shared VVN-214 
horse-racing NN1-4 
adored VVD-15 
goes VVZ-1169 
god NP0-2761 
life NN1-5888 
once AV0-3098 
wish VVB-554 
husband NN1-1042 
vociferously AV0-9 
opposed VVN-294 
relationship NN1-921 
nor CJC-1387 
invited VVN-275 
wedding NN1-225 
marriage NN1-679 
shot-gun NN1-2 
affair NN1-360 
consummated VVN-4 
clumsy AJ0-51 
rage NN1-96 
scandalised AJ0-4 
academe NN1-11 
obsession NN1-121 
sacred AJ0-199 
keeper NN1-57 
title NN1-799 
biography NN1-128 
wrote VVD-1145 
book NN1-2448 
makes VVZ-1781 
mention VVI-197 
name NN1-1991 
snipped VVN-3 
photograph NN1-274 
taken VVN-3189 
wears VVZ-83 
beret NN1-18 
above PRP-1501 
fierce AJ0-189 
eyebrows NN2-89 
frankie NP0-249 
mechanic NN1-20 
fixes VVZ-11 
neighbours NN2-371 
cars NN2-1094 
permanent AJ0-455 
alert AJ0-84 
reputation NN1-468 
read VVI-485 
vulgar AJ0-66 
accent NN1-137 
poetic AJ0-106 
giant AJ0-328 
envious AJ0-23 
pygmies NN2-3 
filled VVN-328 
helpless AJ0-76 
whiskey NN1-34 
communist-homosexual AJ0-1 
conspiracies NN2-6 
situation NN1-1113 
resentment NN1-111 
my DPS-11508 
galileo NP0-31 
hatred NN1-103 
ignorance NN1-110 
intellectual AJ0-354 
belief NN1-665 
great AJ0-4830 
morality NN1-95 
authority NN1-1355 
abide VVI-24 
hugger-mugger NN1-2 
concerns NN2-218 
anti-morality NN1-1 
chose VVD-304 
moral AJ0-492 
ground NN1-1683 
care NN1-1479 
results NN2-1016 
smart AJ0-208 
alecs NP0-1 
1974 CRD-288 
put VVN-1399 
venomous AJ0-9 
plaque NN1-43 
soho NP0-57 
plough NN1-48 
tavern NN1-16 
museum NN1-490 
street NP0-1098 
winter NN1-903 
tore VVD-63 
jeering VVG-9 
pissed AJ0-12 
gaelic AJ0-66 
cover NN1-546 
vulgarity NN1-23 
crude AJ0-134 
allow VVI-763 
otherwise AV0-749 
slip VVI-104 
barbarism NN1-15 
me PNP-9317 
